Muestra_Mia2,Rojo,Morado,Rosa,Rosa_Claro,Naranja,Melon, Azul_Rey,Azul_Claro,Cian,Verde,Verde_Claro,Amarillo,Total
1,4,0,2,0,0,1,1,0,0,0,0,2,10
2,1,3,0,0,0,2,1,1,0,0,1,1,10
3,1,1,0,3,2,0,0,0,1,1,1,0,10
4,1,1,0,1,2,1,1,1,0,0,0,2,10
5,0,1,3,0,0,1,1,1,2,0,1,0,10
6,0,1,2,2,0,0,2,1,1,1,0,0,10
7,1,2,1,2,0,1,0,0,0,1,1,1,10
8,2,1,0,0,1,2,3,0,0,0,0,1,10
9,0,0,1,0,2,2,0,2,0,3,0,0,10
10,0,0,0,2,3,0,1,0,0,0,0,2,8
