Muestra_MIA4,Rojo,Morado,Rosa,Rosa_Claro,Naranja,Melon, Azul_Rey,Azul_Claro,Cian,Verde,Verde_Claro,Amarillo,Total
1,0,10,0,0,0,0,0,0,0,0,0,0,10
2,0,10,0,0,0,0,0,0,0,0,0,0,10
3,0,10,0,0,0,0,0,0,0,0,0,0,10
4,0,10,0,0,0,0,0,0,0,0,0,0,10
5,0,1,0,0,0,0,0,0,0,0,0,0,1
